"filename", "language", "Java", "JSON with Comments", "Markdown", "JSON", "comment", "blank", "total"
"c:\Workspace\Robot\Kachow2024Ver05\src\main\deploy\pathplanner\navgrid.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Workspace\Robot\Kachow2024Ver05\src\main\deploy\pathplanner\settings.json", "JSON with Comments", 0, 36, 0, 0, 0, 0, 36
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\drivers\LimeLight.java", "Java", 174, 0, 0, 0, 118, 37, 329
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\drivers\LimeLightControlModes.java", "Java", 149, 0, 0, 0, 1, 51, 201
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\drivers\SpectrumDigitalInput.java", "Java", 25, 0, 0, 0, 1, 10, 36
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\drivers\SpectrumDigitalRelay.java", "Java", 25, 0, 0, 0, 10, 10, 45
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\drivers\SpectrumSolenoid.java", "Java", 30, 0, 0, 0, 9, 7, 46
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\AxisButton.java", "Java", 49, 0, 0, 0, 4, 11, 64
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\Dpad.java", "Java", 29, 0, 0, 0, 1, 8, 38
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\Gamepad.java", "Java", 42, 0, 0, 0, 15, 14, 71
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\SpectrumButton.java", "Java", 15, 0, 0, 0, 1, 7, 23
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\ThumbStick.java", "Java", 80, 0, 0, 0, 2, 18, 100
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\Triggers.java", "Java", 26, 0, 0, 0, 1, 7, 34
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\XboxGamepad.java", "Java", 98, 0, 0, 0, 1, 27, 126
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\mapping\Curve.java", "Java", 62, 0, 0, 0, 97, 16, 175
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\mapping\ExpCurve.java", "Java", 37, 0, 0, 0, 42, 8, 87
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\mapping\LinCurve.java", "Java", 23, 0, 0, 0, 26, 4, 53
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\mapping\SplineCurve.java", "Java", 184, 0, 0, 0, 96, 18, 298
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\gamepads\mapping\SplineType.java", "Java", 8, 0, 0, 0, 8, 2, 18
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\logger\Logger.java", "Java", 155, 0, 0, 0, 17, 46, 218
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\motorControllers\TalonFXConstantsExample.java", "Java", 46, 0, 0, 0, 8, 13, 67
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\motorControllers\TalonFXSetup.java", "Java", 55, 0, 0, 0, 43, 11, 109
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\motorControllers\TalonSRXSetup.java", "Java", 55, 0, 0, 0, 42, 10, 107
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\preferences\SpectrumPreferences.java", "Java", 66, 0, 0, 0, 68, 21, 155
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\preferences\TunablePrefrence.java", "Java", 37, 0, 0, 0, 34, 9, 80
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\sim\PhysicsSim.java", "Java", 71, 0, 0, 0, 50, 18, 139
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\sim\TalonFXSimProfile.java", "Java", 45, 0, 0, 0, 24, 13, 82
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\sim\TalonSRXSimProfile.java", "Java", 44, 0, 0, 0, 24, 13, 81
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\sim\VictorSPXSimProfile.java", "Java", 15, 0, 0, 0, 16, 7, 38
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\CommandExamples.java", "Java", 3, 0, 0, 0, 24, 4, 31
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\FollowerFalconFX.java", "Java", 31, 0, 0, 0, 1, 7, 39
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\FollowerTalonSRX.java", "Java", 31, 0, 0, 0, 0, 8, 39
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\Leds\SpectrumLEDBuffer.java", "Java", 57, 0, 0, 0, 0, 14, 71
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\Leds\SpectrumLEDs.java", "Java", 60, 0, 0, 0, 6, 12, 78
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\MotorFXSubsystem.java", "Java", 60, 0, 0, 0, 5, 18, 83
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\MotorFXSubsystemConfig.java", "Java", 48, 0, 0, 0, 12, 14, 74
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\MotorSRXSubsystem.java", "Java", 60, 0, 0, 0, 4, 19, 83
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\MotorSRXSubsystemConfig.java", "Java", 46, 0, 0, 0, 10, 13, 69
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\angleMech\AngleMechConfig.java", "Java", 19, 0, 0, 0, 4, 9, 32
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\angleMech\AngleMechSubsystem.java", "Java", 17, 0, 0, 0, 0, 6, 23
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\linearMech\LinearMechConfig.java", "Java", 15, 0, 0, 0, 4, 7, 26
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\linearMech\LinearMechSubsystem.java", "Java", 23, 0, 0, 0, 1, 8, 32
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\pneumatic\PneumaticSubsystem.java", "Java", 24, 0, 0, 0, 10, 8, 42
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\rollerMech\RollerMechConfig.java", "Java", 24, 0, 0, 0, 3, 10, 37
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\subsystems\rollerMech\RollerMechSubsystem.java", "Java", 16, 0, 0, 0, 5, 7, 28
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\swerve\CTREModuleState.java", "Java", 42, 0, 0, 0, 16, 6, 64
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\swerve\Request.java", "Java", 26, 0, 0, 0, 14, 10, 50
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\swerve\SwerveModuleConfig.java", "Java", 23, 0, 0, 0, 12, 4, 39
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\swerve\SwerveUtil.java", "Java", 72, 0, 0, 0, 39, 17, 128
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\sysid\SysIdDrivetrainLogger.java", "Java", 35, 0, 0, 0, 0, 8, 43
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\sysid\SysIdGeneralMechanismLogger.java", "Java", 23, 0, 0, 0, 0, 6, 29
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\sysid\SysIdLogger.java", "Java", 73, 0, 0, 0, 4, 20, 97
